NME_CONVOCATORIA,ANO_CONVO,COD_DANE_REGION_OFERTA,DEPARTAMENTO_OFERTA,ID_MODALIDAD,MODALIDAD,FECHA_NAC_ASPIRANTE,GENERO_ASPIRANTE,COD_MUNICIPIO_NACIMIENTO_ASPIRANTE,MUNICIPIO_NAC_ASPIRANTE,COD_DPTO_NACIMIENTO_ASPIRANTE,DEP_NAC_ASP
Convocatoria  Formacion de Capital Humano de Alto Nivel  para el Departamento del Cesar 2014. ,2014,20,CESAR,1,Doctorados Nacionales,23/09/1977,Femenino,11001,BOGOTA D.C.,11,BOGOTA D. C.
Convocatoria  Formacion de Capital Humano de Alto Nivel  para el Departamento del Cesar 2014. ,2014,20,CESAR,1,Doctorados Nacionales,22/09/1980,Masculino,54001,CUCUTA,54,NORTE DE SANTANDER
Convocatoria  Formacion de Capital Humano de Alto Nivel  para el Departamento del Cesar 2014. ,2014,20,CESAR,1,Doctorados Nacionales,17/02/1979,Femenino,20001,VALLEDUPAR,20,CESAR
Convocatoria  Formacion de Capital Humano de Alto Nivel  para el Departamento del Cesar 2014. ,2014,20,CESAR,1,Doctorados Nacionales,02/10/1978 12:00:00 AM,Femenino,20001,VALLEDUPAR,20,CESAR
Convocatoria  Formacion de Capital Humano de Alto Nivel  para el Departamento del Cesar 2014. ,2014,20,CESAR,1,Doctorados Nacionales,29/05/1977,Masculino,08001,BARRANQUILLA,8,ATLANTICO
Convocatoria  Formacion de Capital Humano de Alto Nivel  para el Departamento del Cesar 2014. ,2014,20,CESAR,1,Doctorados Nacionales,27/06/1977,Masculino,20001,VALLEDUPAR,20,CESAR
Convocatoria  Formacion de Capital Humano de Alto Nivel  para el Departamento del Cesar 2014. ,2014,20,CESAR,1,Doctorados Nacionales,23/02/1975,Masculino,20001,VALLEDUPAR,20,CESAR
Convocatoria  Formacion de Capital Humano de Alto Nivel  para el Departamento del Cesar 2014. ,2014,20,CESAR,1,Doctorados Nacionales,26/03/1986,Masculino,20238,EL COPEY,20,CESAR
Convocatoria  Formacion de Capital Humano de Alto Nivel  para el Departamento del Cesar 2014. ,2014,20,CESAR,1,Doctorados Nacionales,01/07/1983 12:00:00 AM,Masculino,20001,VALLEDUPAR,20,CESAR
Convocatoria  Formacion de Capital Humano de Alto Nivel  para el Departamento del Cesar 2014. ,2014,20,CESAR,1,Doctorados Nacionales,05/01/1981 12:00:00 AM,Masculino,20001,VALLEDUPAR,20,CESAR
